,timestamp,btc_prices,btc_market_cap,btc_volumes,eth_prices,eth_market_cap,eth_volumes,sol_prices,sol_market_cap,sol_volumes,btc_open,btc_high,btc_low,btc_close,eth_open,eth_high,eth_low,eth_close,sol_open,sol_high,sol_low,sol_close
50,1767744000000,93666.864,1870043996457.1855,57439451725.50999,3295.102,397608381234.7261,28511408890.511658,141.102,79507408301.68976,6358691083.473678,89951.0,94634.0,89401.0,93667.0,3124.92,3300.17,3080.89,3295.1,132.18,142.91,130.01,141.1
51,1768089600000,90442.019,1806483854865.5005,13961660357.407768,3082.965,372186920089.48895,5878919562.197727,135.802,76641936890.79468,1741084690.0364935,93647.0,93647.0,89343.0,90442.0,3292.52,3292.52,3058.45,3082.97,141.0,141.0,133.38,135.8
52,1768435200000,97007.781,1938292963237.8118,68433627980.993996,3356.496,405103415124.21326,34009585603.430943,146.708,82880393448.86893,6912090068.388402,90392.0,97705.0,90129.0,97008.0,3081.69,3386.55,3071.03,3356.5,135.72,147.9,135.63,146.71
53,1768780800000,93752.706,1874976961280.7039,23132534225.645782,3284.319,396399594662.77765,14974443677.834782,138.595,78436917528.54514,3109392767.1241255,96934.0,97113.0,93753.0,93753.0,3354.68,3378.86,3258.59,3284.32,146.69,146.69,138.59,138.59
54,1769126400000,89443.397,1787014846080.977,39301750755.698135,2948.278,355853612997.0337,22312421297.363728,128.224,72553217774.92729,3474685432.7283425,93636.0,93636.0,87304.0,89443.0,3281.73,3281.73,2872.06,2948.28,138.05,138.05,125.71,128.22
55,1769472000000,88307.861,1764540020523.9114,50644433646.50017,2927.837,353726198245.0733,31319240379.377583,124.204,70367463149.6183,4633082596.320432,89459.0,90895.0,86126.0,88308.0,2949.66,3005.15,2787.35,2927.84,128.27,129.56,117.75,124.2
56,1769817600000,84141.779,1680807873673.8472,79515463845.849,2702.408,326260413678.2401,41803190280.20533,117.302,66428162827.350426,7242419430.231638,88220.0,90316.0,81315.0,84142.0,2924.81,3036.85,2641.68,2702.41,124.1,127.87,113.12,117.3
57,1770163200000,75638.957,1512165605443.8088,73734215653.24066,2226.986,268883359333.4935,47572474187.92975,97.62,55336080662.992,6137256412.2257185,84122.0,84122.0,73112.0,75639.0,2702.88,2709.04,2117.03,2226.99,117.35,118.54,96.6,97.62
58,1770508800000,69296.807,1385532837702.3442,68978204828.46071,2091.04,252512585445.0919,40809475718.479546,87.672,49749127216.21578,5597873838.47702,75650.0,76749.0,60256.0,69297.0,2229.7,2287.16,1756.73,2091.04,97.68,99.29,70.61,87.67
59,1770854400000,66937.581,1337566230010.1792,54917156057.4172,1939.432,234040160527.6989,23726060466.889244,79.269,45053694679.361496,4300002945.332792,69271.0,71852.0,65932.0,66938.0,2089.39,2140.2,1911.96,1939.43,87.63,88.59,78.35,79.27
60,1771200000000,68716.583,1373546624939.8215,44139541277.476685,1963.957,237059805728.8081,31079407276.992832,85.943,48819352379.51161,4348972609.458301,66994.0,70898.0,65243.0,68717.0,1940.58,2100.05,1902.17,1963.96,79.21,90.96,76.81,85.94
61,1771545600000,66918.684,1338094580095.8176,34180839195.07364,1946.909,235006669215.33435,19134139969.172134,82.329,46788887236.61634,3082347845.3774166,68781.0,69999.0,65734.0,66919.0,1965.16,2030.77,1914.26,1946.91,85.99,87.41,79.82,82.33
62,1771891200000,64577.553,1291178509392.7466,56724400502.91585,1853.696,223731652427.76767,31366211602.76786,77.742,44218639145.17957,5278871884.141234,66957.0,68637.0,63963.0,64578.0,1948.07,1994.42,1845.98,1853.7,82.38,86.6,77.32,77.74
63,1772236800000,65883.991,1317715385672.9202,43031961580.21165,1931.321,233144085915.65958,21664624267.05581,81.975,46589974108.0842,4075158244.6100698,64646.0,69487.0,62803.0,65884.0,1856.09,2121.02,1807.63,1931.32,77.76,90.65,76.1,81.97
64,1772582400000,68321.618,1367228918356.8262,52704039830.20494,1982.458,239664309988.1716,23812766657.95574,87.213,49734923977.29887,5221323004.591456,65879.0,69851.0,63177.0,68322.0,1930.31,2072.0,1841.29,1982.46,81.87,89.58,77.47,87.21
65,1772928000000,67271.191,1345067153653.0642,24588849466.218872,1969.694,237705413185.15485,9708504242.945522,83.179,47465294460.024994,1895012342.4811046,68292.0,73953.0,67038.0,67271.0,1981.4,2192.82,1948.58,1969.69,87.03,93.71,82.51,83.18
66,1773273600000,70226.819,1405229147518.9683,48188681300.73879,2051.731,247646084116.33203,19128555868.09481,86.63,49493902762.530624,3989760200.81788,67268.0,71612.0,65727.0,70227.0,1969.78,2084.64,1922.33,2051.73,83.2,88.54,81.03,86.63
