,date,btc_market_cap,eth_market_cap,sol_market_cap
383,2020-07-09,170111000000.0,26987331364.791916,14021382.808851428
384,2020-07-10,171111000000.0,26921581001.064438,15095653.714339323
385,2020-07-11,170235000000.0,26731974636.121494,15263671.933526026
386,2020-07-12,171201000000.0,26958992964.07357,16786258.33412031
387,2020-07-13,170242000000.0,26740675922.918827,19472719.54640205
388,2020-07-14,170688000000.0,26890604805.98548,19836048.172795225
389,2020-07-15,169524000000.0,26641584708.01707,22487276.392737564
390,2020-07-16,168349000000.0,26104773435.08224,17607691.700419586
391,2020-07-17,168797000000.0,26029210801.81774,19721741.19815093
392,2020-07-18,169162000000.0,26374974502.32512,20625526.355379287
393,2020-07-19,169962000000.0,26763799000.76177,19673138.061467454
394,2020-07-20,169017000000.0,26431904007.293,18602726.18804348
395,2020-07-21,173107000000.0,27429317187.06535,21060974.172479376
396,2020-07-22,175745000000.0,29552124968.34903,22212715.772470396
397,2020-07-23,177190000000.0,30789027288.437176,23622978.782469586
398,2020-07-24,176072000000.0,31316836278.00613,22252993.86616712
399,2020-07-25,178928000000.0,34173444578.578663,28581445.273885135
400,2020-07-26,183205000000.0,34808491154.46768,35764510.87141275
401,2020-07-27,203735000000.0,36177533658.5409,39490788.041444674
402,2020-07-28,201866000000.0,35597800750.959694,41684128.56199417
403,2020-07-29,205033000000.0,35603316650.77604,38376669.23502784
404,2020-07-30,205406000000.0,37616080625.564606,41086010.65236357
405,2020-07-31,209156000000.0,38764530172.38144,37541047.13324222
406,2020-08-01,217642000000.0,43361593330.4842,37552023.6171224
407,2020-08-02,204672000000.0,41686217249.78186,42258703.16483463
408,2020-08-03,207303000000.0,43181956075.50196,43976285.46530614
409,2020-08-04,206697000000.0,43767048312.837875,46569310.30290089
410,2020-08-05,216280000000.0,44885865772.356285,43259863.955935806
411,2020-08-06,217173000000.0,44151144253.727196,53978768.85963624
412,2020-08-07,214041000000.0,42624978508.1502,53510990.33173819
413,2020-08-08,216710000000.0,43978548352.26044,65447429.75379876
414,2020-08-09,215567000000.0,43627708044.53012,70853044.8951226
415,2020-08-10,219083000000.0,44330962245.76909,83048729.66793111
416,2020-08-11,210275000000.0,42509009794.037254,90715773.73112777
