asset,horizon,date,mult,prob,outcome
btc,7,2023-05-23,1.1,0.1343,0
btc,7,2023-05-30,0.9,0.8857,1
btc,7,2023-05-30,0.95,0.7455,1
btc,7,2023-05-30,1.0,0.4903,0
btc,7,2023-05-30,1.05,0.2558,0
btc,7,2023-05-30,1.1,0.1395,0
btc,7,2023-06-06,0.9,0.8877,1
btc,7,2023-06-06,0.95,0.7543,1
btc,7,2023-06-06,1.0,0.4965,0
btc,7,2023-06-06,1.05,0.257,0
btc,7,2023-06-06,1.1,0.1356,0
btc,7,2023-06-13,0.9,0.8884,1
btc,7,2023-06-13,0.95,0.7525,1
btc,7,2023-06-13,1.0,0.4828,1
btc,7,2023-06-13,1.05,0.2488,1
btc,7,2023-06-13,1.1,0.1277,0
btc,7,2023-06-20,0.9,0.8898,1
btc,7,2023-06-20,0.95,0.7606,1
btc,7,2023-06-20,1.0,0.496,1
btc,7,2023-06-20,1.05,0.2568,1
btc,7,2023-06-20,1.1,0.1363,0
btc,7,2023-06-27,0.9,0.8923,1
btc,7,2023-06-27,0.95,0.7573,1
btc,7,2023-06-27,1.0,0.4946,1
btc,7,2023-06-27,1.05,0.2558,0
btc,7,2023-06-27,1.1,0.1348,0
btc,7,2023-07-04,0.9,0.8956,1
btc,7,2023-07-04,0.95,0.7644,1
btc,7,2023-07-04,1.0,0.5053,0
btc,7,2023-07-04,1.05,0.267,0
btc,7,2023-07-04,1.1,0.1417,0
btc,7,2023-07-11,0.9,0.8938,1
btc,7,2023-07-11,0.95,0.7549,1
btc,7,2023-07-11,1.0,0.4917,0
btc,7,2023-07-11,1.05,0.2471,0
btc,7,2023-07-11,1.1,0.1323,0
btc,7,2023-07-18,0.9,0.8955,1
btc,7,2023-07-18,0.95,0.7611,1
btc,7,2023-07-18,1.0,0.4958,0
btc,7,2023-07-18,1.05,0.2531,0
btc,7,2023-07-18,1.1,0.1333,0
btc,7,2023-07-25,0.9,0.8996,1
btc,7,2023-07-25,0.95,0.7651,1
btc,7,2023-07-25,1.0,0.4921,1
btc,7,2023-07-25,1.05,0.2514,0
btc,7,2023-07-25,1.1,0.1318,0
btc,7,2023-08-01,0.9,0.8904,1
btc,7,2023-08-01,0.95,0.7565,1
btc,7,2023-08-01,1.0,0.4889,1
btc,7,2023-08-01,1.05,0.2424,0
btc,7,2023-08-01,1.1,0.1357,0
btc,7,2023-08-08,0.9,0.9002,1
btc,7,2023-08-08,0.95,0.768,1
btc,7,2023-08-08,1.0,0.4881,0
btc,7,2023-08-08,1.05,0.2449,0
btc,7,2023-08-08,1.1,0.129,0
btc,7,2023-08-15,0.9,0.8928,0
btc,7,2023-08-15,0.95,0.768,0
btc,7,2023-08-15,1.0,0.4991,0
btc,7,2023-08-15,1.05,0.2462,0
btc,7,2023-08-15,1.1,0.1296,0
btc,7,2023-08-22,0.9,0.8931,1
btc,7,2023-08-22,0.95,0.7642,1
btc,7,2023-08-22,1.0,0.485,1
btc,7,2023-08-22,1.05,0.2425,1
btc,7,2023-08-22,1.1,0.1241,0
